branch_code,สาขา,ที่อยู่,จังหวัด,ภูมิภาค,postcode,ผอ.สาขา,เคาน์เตอร์ขาย,แคชเชียร์โครงสร้าง,โทรศัพท์,เวลาบริการ,line,facebook,เส้นทาง (Google Maps),latitude,longitude,ทำเลเป็นแบบไหน,อยู่บนเส้นถนนแบบไหน,รอบๆมักเป็นอะไร,สถานที่ใกล้เคียง
GH-150,สาขาปทุมธานี,1/88 ม.3 ต.บางโพธิ์เหนือ อ.สามโคก จ.ปทุมธานี 12160,ปทุมธานี,BKK&Metro,12160,092-2471339,063-1931339,063-2721339,1160,07:30 น. - 20:00 น.,https://lin.ee/hrd3nDw,https://bit.ly/2WuIkl4,"https://maps.google.com/?q=14.036115,100.5217933",14.036115,100.5217933,ย่านค้าวัสดุ/ตกแต่งบ้าน / ย่านชุมชน/ตลาด / ใกล้สถานศึกษา,ไม่พบข้อมูล,"ตู้ ATM(4), โรงเรียน(2), ร้านของตกแต่งบ้าน(2), ร้านอาหาร(1), อู่ซ่อมรถ(1)","โรงเรียนบางโพธิ์เหนือ, โกลบอลเฮ้าส์ ปทุมธานี, หจก. ประเสริฐ เฮลท์แคร์ พลัส, 7-Eleven สาขา สามโคก จุด 2 (09758), Watzshop Brake Pads, ATM ธ.ไทยพาณิชย์ อาคารพาณิชย์ข้าง 7-11, บ้านกรองน้ำ ปทุมธานี (แยกสันติสุข), โรงเรียนวิภารัตน์, แว่นท็อปเจริญ สาขา แม็คโคร ปทุมธานี, ATM SCB Bank"
GH-151,สาขาศาลายา,8/8 หมู่ที่ 1 ตำบลทรงคนอง อำเภอสามพราน จังหวัดนครปฐม 73210,นครปฐม,BKK&Metro,73210,062-1981340,062-1981240,062-1981640,1160,07:30 น. - 20:00 น.,https://lin.ee/492vudL,https://bit.ly/2J4PVyN,"https://maps.google.com/?q=13.786507,100.264205",13.786507,100.264205,ย่านค้าวัสดุ/ตกแต่งบ้าน / ย่านชุมชน/ตลาด / ใกล้ปั๊มน้ำมัน,ไม่พบข้อมูล,"ร้านของตกแต่งบ้าน(3), คาเฟ่(3), ธนาคาร(2), ร้านอาหาร(1), ตู้ ATM(1), ปั๊มน้ำมัน(1), อู่ซ่อมรถ(1)","โกลบอลเฮ้าส์ ศาลายา, โตโยต้า ดิสคัฟเวอรี่, บ้านใร่กาแฟ ถ.บรมราชชนนี, แกลเลอรี ศาลายา, After the Rain Coffee & Gallery, แก้วฟ้าตุ๊กตา, Somkaew, ATM SCB Bank, PTT Station ปตท.จิฟฟี่ นครปฐม-ปิ่นเกล้า กม.26 (น้ำมัน+EV), บีควิก สาขาไทวัสดุศาลายา"
GH-152,สาขานครศรีธรรมราช,100/1 หมู่ 5 ตำบลปากพูน อำเภอเมืองนครศรีธรรมราช จังหวัดนครศรีธรรมราช 80000 ,นครศรีธรรมราช,Southern,80000,0610286845,061 028 0945,061-0284045,1160,08:00 น. - 19:00 น.,https://lin.ee/wOkwRCZ,https://bit.ly/2QAoCAE,"https://maps.google.com/?q=8.466836,99.961961",8.466836,99.961961,ย่านค้าวัสดุ/ตกแต่งบ้าน / ย่านชุมชน/ตลาด / ใกล้สถานศึกษา,ถนน บ้านสวนจันทร์ (ถนน),"ร้านของตกแต่งบ้าน(2), ร้านล้างรถ(2), ร้านอาหาร(2), คาเฟ่(2), วัด/ศาสนสถาน(1), โรงเรียน(1), ตู้ ATM(1)","มัสยิดนูรุ้ลฮิดายะห์, บริษัท บวรมอเตอร์ จำกัด, โกลบอลเฮ้าส์ นครศรีธรรมราช, Index Living Mall Nakhon Si Thammarat, นครคาร์แคร์, มณีวัตรโภชนา (a la carte aka Pikachu) x ซาลาเปา, โรงเรียนอำมาตย์พิทยานุสรณ์, SP Car Detailing, คลินิกรักษ์สุขภาพการแพทย์แผนไทย การนวดไทย, Nakhon Si IVF คลินิกหมอรสธรรม รักษาผู้มีบุตรยาก นครศรีไอวีเอฟ"
GH-153,สาขาบึงกาฬ,328 หมู่ที่ 10 ตำบลบึงกาฬ อำเภอเมืองบึงกาฬ จังหวัดบึงกาฬ 38000,บึงกาฬ,Esan,38000,081-7688437,063-2173137,081-8016437,1160,08:00 น. - 19:00 น.,https://lin.ee/dMug3Yu,https://bit.ly/3bcEQaM,"https://maps.google.com/?q=18.343619,103.640721",18.343619,103.640721,ย่านค้าวัสดุ/ตกแต่งบ้าน / ย่านชุมชน/ตลาด / ใกล้สถานศึกษา / ใกล้ที่พัก/โรงแรม,ไม่พบข้อมูล,"ร้านอาหาร(3), ที่พัก/โรงแรม(3), ร้านของตกแต่งบ้าน(1), สถานีตำรวจ(1), โรงเรียน(1), ตู้ ATM(1), ร้านเสื้อผ้า(1)","ร้านอาหารคลองสำราญ, โกลบอลเฮ้าส์ บึงกาฬ, กองร้อยตำรวจตระเวนชายแดนที่ 244, โรงเรียนบ้านแสนสำราญ, หมู่บ้านคาวบอยแกรนด์โฮม, ATM กรุงไทย ยืนยันตัวตน (EDC) บมจ.สยามโกลบอลเฮ้าส์ (บึงกาฬ), ร้านแสนอุบล, ร้านอิ่มเพลิน, พีอาร์ สกรีน บ้านสกรีนเสื้อ, คานารีสอร์ท บึงกาฬ (Cana resort)"
GH-154,สาขาสุราษฎร์ธานี,เลขที่ 17/5 หมู่ 2 ถนนเลี่ยงเมือง ตำบลบางกุ้ง อำเภอเมืองสุราษฎร์ธานี จังหวัดสุราษฎร์ธานี 84000,สุราษฎร์ธานี,Southern,84000,062-1980944,062-1976244,061-4212144,1160,07:30 น. - 19:00 น.,https://lin.ee/cBUUMg7,https://bit.ly/3ac2aW6,"https://maps.google.com/?q=9.159293,99.369469",9.159293,99.369469,ย่านค้าวัสดุ/ตกแต่งบ้าน / ย่านชุมชน/ตลาด,ตำบล บางกุ้ง (ถนน),"อู่ซ่อมรถ(3), คาเฟ่(3), ร้านของตกแต่งบ้าน(1), ตู้ ATM(1), ร้านอาหาร(1)","โกลบอลเฮ้าส์ สุราษฎร์ธานี, เซียงกงสุราษฎร์ธานี, อู่ คงดีช่างยนต์, ซื้อ พรบ.ออนไลน์, บริษัท สุราษฏร์ธานี ฮอนด้า ออโตโมบิล จำกัด, ตู้เอทีเอ็มธนาคารกรุงไทย, Lamayon สุราษฏร์ธานี, La Mayon coffee สาขาสุราษฎร์ธานี, Jhira Phong Kan Chang Garage, 7-Eleven ตาปี สุราษฎร์ (19290)"
GH-155,สาขากาญจนบุรี,116 หมู่ 8 ตำบลแก่งเสี้ยน อำเภอเมืองกาญจนบุรี จังหวัดกาญจนบุรี 71000,กาญจนบุรี,Western,71000,0931408946,0935820546,0931320846,1160,07:30 น. - 19:00 น.,https://lin.ee/oQsCD6r,https://bit.ly/2xhN96u,"https://maps.google.com/?q=14.0657682,99.4937257",14.0657682,99.4937257,ย่านค้าวัสดุ/ตกแต่งบ้าน / ย่านชุมชน/ตลาด / ใกล้ปั๊มน้ำมัน / ใกล้ที่พัก/โรงแรม,ไม่พบข้อมูล,"ร้านอาหาร(2), ร้านอิเล็กทรอนิกส์(2), ที่พัก/โรงแรม(2), ปั๊มน้ำมัน(1), ร้านของตกแต่งบ้าน(1), คาเฟ่(1), ร้านซักรีด(1)","กาญจนบุรี, ร้านครัวบ้านสวน, ที่ทำการไปรษณีย์ แก่งเสี้ยน, ห้างหุ้นส่วนจำกัด สัณหกิจ การโยธา, 7-Eleven สาขา PTTOR แก่งเสี้ยน (02080), PTT Station ปตท.แยกแก่งเสี้ยน (น้ำมัน+EV) ประสิทธิ์บริการ, โกลบอลเฮ้าส์ กาญจนบุรี, คาเฟ่ อเมซอน, โรงงานซักผ้า Clean BY AMMA, หมู่บ้านเดอะริชกาญจน์ : The Rich Kan Private Residence"
GH-156,สาขาสิงห์บุรี,เลขที่ 68 หมู่ที่ 4 ตำบลต้นโพธิ์ อำเภอเมืองสิงห์บุรี จังหวัดสิงห์บุรี  16000,สิงห์บุรี,Central,16000,098-0979641,098-0978241,"098-0978241 , 098-0976530",1160,08:00 น. - 19:00 น.,https://lin.ee/en8wmDf,https://bit.ly/3aacM8b,"https://maps.google.com/?q=14.8727254,100.3959441",14.8727254,100.3959441,ย่านค้าวัสดุ/ตกแต่งบ้าน / ย่านชุมชน/ตลาด,ไม่พบข้อมูล,"ร้านอาหาร(3), ร้านของตกแต่งบ้าน(2), ตู้ ATM(1), คาเฟ่(1)","โกลบอลเฮ้าส์ สิงห์บุรี, สำนักงานสาธารณสุขจังหวัดสิงห์บุรี, สหกรณ์ออมทรัพย์ครูจังหวัดสิงห์บุรี, ร้าน แซ่บนัว, ATM กรุงไทย ยืนยันตัวตน (EDC) บมจ.สยามโกลบอลเฮ้าส์ (สิงห์บุรี), ครัวครูพยุงศรี, FirstFasai กาแฟสด&ข้าวมันไก่, ร้านต่อถุงเท้าสิงห์บุรี, กาแฟสด Tea-Mocca สาขาสิงห์บุรี, เดอ ออเรนจ์ ทีซีเอ็ม คลินิก"
GH-158,สาขายโสธร,364 หมู่ที่ 3 ตำบลตาดทอง อำเภอเมืองยโสธร จังหวัดยโสธร 35000,ยโสธร,Esan,35000,092-2471336,061-4130136,081-7360036,1160,08:00 น. - 19:00 น.,https://lin.ee/xbPCj8D,https://bit.ly/2UaexMU,"https://maps.google.com/?q=15.786390,104.172662",15.786390,104.172662,ย่านพาณิชย์/ใกล้ห้าง / ย่านค้าวัสดุ/ตกแต่งบ้าน / ย่านชุมชน/ตลาด,ไม่พบข้อมูล,"คาเฟ่(2), ร้านของตกแต่งบ้าน(1), ธนาคาร(1), ร้านอาหาร(1), ร้านเสริมสวย(1), ซูเปอร์มาร์เก็ต(1)","โกลบอลเฮ้าส์ ยโสธร, Rider One Motorcycle Cafe Shop, ธนาคารเพื่อการเกษตรและสหกรณ์การเกษตร สาขาพญาแถน, La Mayon coffee, ติดตั้งแอร์, ร้านพ่อพงษ์ข้าวปุ้นซาวยโสธร สาขา2, PEETZ Clinic พีทซ์ คลินิก YASOTHON ยโสธร คลินิกความงาม, Apคิ้วสวย ยโสธร, แสนสุขการพยาบาลและการผดุงครรภ์, แสนสุขคลินิกการพยาบาลและการผดุงครรภ์"
GH-159,สาขาอ่างทอง,99/99 หมู่ 8 ตำบลโพสะ อำเภอเมืองอ่างทอง จังหวัดอ่างทอง 14000,อ่างทอง,Central,14000,061-0289149,061-0292149,061-0293149,1160,08:00 น. - 19:00 น.,https://lin.ee/8OuK9rd,https://bit.ly/398P0Im,"https://maps.google.com/?q=14.577606,100.461742",14.577606,100.461742,ย่านพาณิชย์/ใกล้ห้าง / ย่านค้าวัสดุ/ตกแต่งบ้าน / ย่านชุมชน/ตลาด,ไม่พบข้อมูล,"อู่ซ่อมรถ(3), คาเฟ่(2), ร้านของตกแต่งบ้าน(1), ธนาคาร(1), ซูเปอร์มาร์เก็ต(1), ร้านอาหาร(1)","บางไผ่อะไหล่ยนต์ อ่างทอง, โกลบอลเฮ้าส์ สาขาอ่างทอง, แอมเวย์ ช็อป อ่างทอง, Poppysmiccafe, ร้าน พัฒนายนตการ, สหกรณ์ออมทรัพย์ครูจังหวัดอ่างทอง, บิ๊กซี อ่างทอง, ประพันธ์อะไหล่ยนต์ อ่างทอง, ครัวดำแดง อาหารป่าปลาแม่น้ำ, LaMayon coffee สาขาอ่างทอง"
GH-160,สาขาเลย,เลขที่ 292 หมู่ 6 ตำบลนาอาน อำเภอเมืองเลย จังหวัดเลย 42000,เลย,Esan,42000,0610249050,0610284950,0610281950,1160,08:00 น. - 19:00 น.,https://lin.ee/jktc50Q,https://bit.ly/2JiMJzT,"https://maps.google.com/?q=17.461491,101.727293",17.461491,101.727293,ย่านค้าวัสดุ/ตกแต่งบ้าน / ย่านชุมชน/ตลาด / ใกล้ปั๊มน้ำมัน,ถนน มลิวรรณ (ถนน),"ธนาคาร(3), ตู้ ATM(3), ปั๊มน้ำมัน(1), ร้านของตกแต่งบ้าน(1), ฟิตเนส(1), ร้านอาหาร(1), อู่ซ่อมรถ(1)","PTT Station ปตท.นาอาน (น้ำมัน+EV), ATM กสิกรไทย โรงพยาบาลเมืองเลยราม, ATM กสิกรไทย แอมเวย์ ช็อป สาขาเลย, สหชัย ฟอร์ด เลย, คูโบต้าเมืองเลย, ต๊อด เจริญยนต์, โกลบอลเฮ้าส์ เลย, Siam Commercial Bank Cash Deposit Machine (CDM), สน.ปตท. บจ.พัฒนชัยยนต์, ATM K-Bank"
GH-161,สาขาพัทลุง,"228 หมู่ที่ 10 ตำบลเขาเจียก อำเภอเมืองพัทลุง พัทลุง 93000
",พัทลุง,Southern,93000,093-1376853,093- 3261353,093-3272853,1160,08:00 น. - 19:00 น.,https://lin.ee/vFE4w10,https://bit.ly/FB-GBH-PU,"https://maps.google.com/?q=7.631426,100.064585",7.631426,100.064585,ย่านค้าวัสดุ/ตกแต่งบ้าน / ย่านชุมชน/ตลาด / ใกล้สถานศึกษา,ไม่พบข้อมูล,"ร้านอาหาร(5), อู่ซ่อมรถ(2), ร้านของตกแต่งบ้าน(1), ร้านเสื้อผ้า(1), โรงเรียน(1), คาเฟ่(1), ธนาคาร(1)","โกลบอลเฮ้าส์ พัทลุง, ทณภพเวดดิ้ง, โรงเรียนวัดควนกรวด, ณิชาแซนด์วิช พัทลุง, โรงชาเฟยติ่มซำ, จานเดียวจุก-อาหารตามสั่ง, อู่วโรจน์เซอร์วิส พัทลุง, La Mayon coffee สาขาพัทลุง, ATM ธนาคารกรุงศรีอยุธยา, Get’Hair บ้านผม"
GH-162,สาขาอุตรดิตถ์,159 หมู่ 8 ตำบลป่าเซ่า อำเภอเมืองอุตรดิตถ์ จังหวัดอุตรดิตถ์  53000,อุตรดิตถ์,Northern,53000,0610284048,0610294548,0610288148,1160,08:00 น. - 19:00 น.,https://lin.ee/8KSqtPt,https://bit.ly/2UvKBtu,"https://maps.google.com/?q=17.611239,100.129814",17.611239,100.129814,ย่านค้าวัสดุ/ตกแต่งบ้าน / ย่านชุมชน/ตลาด,ไม่พบข้อมูล,"ร้านอาหาร(3), คาเฟ่(2), ร้านของตกแต่งบ้าน(1)","โกลบอลเฮ้าส์ อุตรดิตถ์, ฟอร์ด อุตรดิตถ์, สยามนิสสัน อุตรดิตถ์, Vending machine​ โกล์​บอล​อุตรดิตถ์​, ติดตั้งแอร์, LaMayon coffee สาขาอุตรดิตถ์, ห้องอาหาร โรงพยาบาลพิษณุเวช อุตรดิตถ์, ฟาร์มนกแก้วสมคิดฟาร์ม, Rest Time สาขา รพ.พิษณุเวช อุตรดิตถ์, Phitsanuloke Motorsales Co., Ltd. @ Uttaradit"
GH-163,สาขาชุมแพ,998 หมู่ที่ 9 ตำบลชุมแพ อำเภอชุมแพ จังหวัดขอนแก่น  40130,ขอนแก่น,Esan,40130,061-024-9851,061-024-8951,061-0249351,1160,08:00 น. - 19:00 น.,https://lin.ee/g0i96Cb,https://bit.ly/2Uqp4CB,"https://maps.google.com/?q=16.555102,102.0753568",16.555102,102.0753568,ย่านค้าวัสดุ/ตกแต่งบ้าน / ย่านชุมชน/ตลาด / ใกล้ปั๊มน้ำมัน / ใกล้ที่พัก/โรงแรม,ถนน มลิวรรณ (ถนน),"ร้านของตกแต่งบ้าน(1), ปั๊มน้ำมัน(1), ที่พัก/โรงแรม(1), คาเฟ่(1), ร้านอาหาร(1), อู่ซ่อมรถ(1)","โกลบอลเฮ้าส์ ชุมแพ, โตโยต้าขอนแก่น สาขามลิวรรณ Toyota Khonkaen (Milwan), ปั้มน้ำมันเชลล์ บจก.พร้อมแอนด์พราวปิโตรเลียม, Western Union, บ้านอูฐรีสอร์ท และบ้านอูฐนวดเพื่อสุขภาพ, La Mayon coffee สาขาชุมแพ, รุ่งทิพย์ คาราโอเกะ, เงินเทอร์โบ สาขาห้วยบง, เพชรออโต้แม็ก"
GH-164,สาขาภูเก็ต,66/49 หมู่ 10 ตำบลฉลอง อำเภอเมืองภูเก็ต จังหวัดภูเก็ต 83130,ภูเก็ต,Southern,83130,0980921363,0990039563,0979505763,1160,08:00 น. - 19:00 น.,https://lin.ee/n5txtAG,https://bit.ly/FB-GBH-PK,"https://maps.google.com/?q=7.825812,98.330412",7.825812,98.330412,ย่านค้าวัสดุ/ตกแต่งบ้าน / ใกล้ปั๊มน้ำมัน / ใกล้ที่พัก/โรงแรม,4028 (ทางหลวง/ถนนหมายเลข),"ที่พัก/โรงแรม(7), ปั๊มน้ำมัน(2), ร้านของตกแต่งบ้าน(1)","Chalong Chalet Resort & Longstay, ZEN Premium, Chalong Oasis Resort & Spa, Tuna Resort, Big Buddha Hillside, ห้าแยกเฟอร์นิเจอร์, โปรเซิร์ฟ, บริษัท สวนพฤกษชาติ ภูเก็ต จำกัด, Chalong Palm Residence, Shell"
GH-166,สาขาแม่สาย,357 หมู่ 11 ตำบลโป่งผา อำเภอแม่สาย  จังหวัดเชียงราย 57130,เชียงราย,Northern,57130,098-6860265,099-0032365,099-0034165,1160,08:00 น. - 19:00 น.,https://lin.ee/Ca65ram,https://bit.ly/FB-GBH-MAS,"https://maps.google.com/?q=20.398310,99.885656",20.398310,99.885656,ย่านพาณิชย์/ใกล้ห้าง / ย่านค้าวัสดุ/ตกแต่งบ้าน / ย่านชุมชน/ตลาด,ไม่พบข้อมูล,"ตู้ ATM(3), เบเกอรี่(2), ร้านขายยา(1), ซูเปอร์มาร์เก็ต(1), ธนาคาร(1), ร้านของตกแต่งบ้าน(1), ร้านอาหาร(1)","ขนส่งแม่สาย, แม่สายเด็นทัล Maesai Dental Clinic, Fascino ร้านขายยา ฟาสซิโน สาขา ข้างแม็คโคร แม่สาย, แม็คโครแม่สาย, ATM K-Bank, ATM กสิกรไทย โลตัส คุ้มค่า แม่สาย, ร้านมิสเตอร์ โดนัท, ร้าน ผึ้งน้อยเบเกอรี่, สำนักงานเทศบาลตำบลเวียงพางคำ, บมจ.สยามโกลบอลเฮ้าส์ (แม่สาย)"
GH-168,สาขาพังโคน,642 หมู่ 1 ตำบลพังโคน อำเภอพังโคน จังหวัดสกลนคร  47160,สกลนคร,Esan,47160,093-3208352,093-3232952,093-3267652,1160,08:00 น. - 19:00 น.,https://lin.ee/yqSdnGZ,https://bit.ly/2J7ArtW,"https://maps.google.com/?q=17.387025,103.73227",17.387025,103.73227,ย่านค้าวัสดุ/ตกแต่งบ้าน / ย่านชุมชน/ตลาด / ใกล้สถานศึกษา / ใกล้ที่พัก/โรงแรม,ไม่พบข้อมูล,"ที่พัก/โรงแรม(2), อู่ซ่อมรถ(2), ร้านของตกแต่งบ้าน(1), มหาวิทยาลัย(1), ร้านอาหาร(1)","โรงแรมพังโคนอินน์, โกลบอลเฮ้าส์ พังโคน, อู่ พัฒนา คาร์แคร์, วิทยาลัยเทคโนโลยีพังโคนพณิชยการ, โคโคนัทแอร์บ้าน อะไหล่แอร์ ช่างแอร์ สาขาพังโคน, ร้านก๋วยเตี๋ยวบ้านเพื่อน, ครัวชาวนา2, ร้านพังโคนแบตเตอรี่ - Phang Khon Battery"
GH-169,สาขาแม่ฮ่องสอน,61 หมู่ 11 ตำบลปางหมู อำเภอเมืองแม่ฮ่องสอน จังหวัดแม่ฮ่องสอน 58000,แม่ฮ่องสอน,Northern,58000,0610186860,0610184960,0610185760,1160,08:00 น. - 19:00 น.,https://lin.ee/5S9BpD6,https://bit.ly/FB-GBH-MH,"https://maps.google.com/?q=19.295397,97.9473573",19.295397,97.9473573,ย่านค้าวัสดุ/ตกแต่งบ้าน / ย่านชุมชน/ตลาด / ใกล้สถานศึกษา / ใกล้ที่พัก/โรงแรม,ไม่พบข้อมูล,"ร้านอาหาร(8), วัด/ศาสนสถาน(2), โรงเรียน(1), ธนาคาร(1), ร้านของตกแต่งบ้าน(1), ที่พัก/โรงแรม(1)","สวนอาหาร ธารฮ่องสอน, โรงเรียนบ้านสบป่อง, ATM ธนาคารกรุงศรีอยุธยา, โกลบอลเฮ้าส์ แม่ฮ่องสอน, ไม้บอร์ด เฌอร่าใกล้ฉัน โกลบอลเฮ้าส์ แม่ฮ่องสอน, บ้านทวีสุข - One-Bedroom Apartment, กุ้งเผา เว้ยเห้ย, เนมคอนสตรัคชั่นแอนด์ซิสเท็ม, ร้านลับ(เกี๊ยวปั้นสดหนูมิลิน), แค้มป์คิว"
GH-171,สาขาโชคชัย,363 หมู่ที่ 12 ตำบลโชคชัย อำเภอโชคชัย จังหวัด นครราชสีมา  30190,นครราชสีมา,Esan,30190,061-0192554,061-0198554,061-0200654,1160,08:00 น. - 19:00 น.,https://lin.ee/soGrcTZ,https://bit.ly/FB-GBH-CI,"https://maps.google.com/?q=14.75121,102.163115",14.75121,102.163115,ย่านพาณิชย์/ใกล้ห้าง / ย่านค้าวัสดุ/ตกแต่งบ้าน / ย่านชุมชน/ตลาด / ใกล้ปั๊มน้ำมัน / ใกล้ที่พัก/โรงแรม,ไม่พบข้อมูล,"ปั๊มน้ำมัน(2), อู่ซ่อมรถ(2), ที่พัก/โรงแรม(1), ห้างสรรพสินค้า(1), ร้านของตกแต่งบ้าน(1), ตู้ ATM(1), คาเฟ่(1)","โรงแรม ที่พัก ปลายนา รีสอร์ท โชคชัย นครราชสีมา โคราช, คาลเท็กซ์ สาขาดาว ช.เจริญ บริการ, PT Gasstation, ตลาดคลังมาร์เช่-Klung Marche, โกลบอลเฮ้าส์ โชคชัย, ธงชัยการช่าง ท่อไอเสีย หม้อน้ำ, ATM SCB (am GlobelHouse), BrewtheWater-บรูเดอะวอเทอ调味水, วี ออร์โต้คาร์, โจ.คิ้วบัว"
GH-172,สาขาชัยนาท,798 หมู่ที่ 5 บ้านกล้วย อำเภอเมืองชัยนาท ชัยนาท 17000,ชัยนาท,Central,17000,092-7623657,080-8804657,080-8804657,1160,07:30 น. - 20:00 น.,https://lin.ee/txoFb5d,https://bit.ly/FB-GBH-CN,"https://maps.google.com/?q=15.221863,100.173040",15.221863,100.173040,ย่านค้าวัสดุ/ตกแต่งบ้าน / ย่านชุมชน/ตลาด / ใกล้ปั๊มน้ำมัน / ใกล้ที่พัก/โรงแรม,ถนน พหลโยธิน (ถนน),"ร้านของตกแต่งบ้าน(2), คาเฟ่(2), ที่พัก/โรงแรม(1), ธนาคาร(1), ปั๊มน้ำมัน(1), ร้านอาหาร(1), ตู้ ATM(1)","แฟนตาซี รีสอร์ท Fantasy Resort, โกลบอลเฮ้าส์ ชัยนาท, ATM ธนาคารกรุงศรีอยุธยา, PTT Station ปตท.สวนนกชัยนาท (น้ำมัน+EV) (บจ.P.O.A.ปิโตรเลียม ชัยนาท), 7-Eleven สาขา PTTOR สวนนกชัยนาท (14993), Café Amazon สาขา ปตท.สวนนกชัยนาท (DD2993), ATM กรุงไทย บมจ.สยามโกลบอลเฮ้าส์ (ชัยนาท), La Mayon coffee สาขาชัยนาท, แผนกเครื่องใช้ไฟฟ้า โกลบอลเฮ้าส์ ชัยนาท, Nissan Phoenix นิสสันฟีนิกซ์ ชัยนาท ตัวแทนจำหน่ายอย่างเป็นทางการ"
GH-173,สาขาฝาง,222 หมู่ 2 ตำบลสันทราย อำเภอฝาง จังหวัดเชียงใหม่ 50110,เชียงใหม่,Northern,50110,062-4390559,062-2360559,062-2360559,1160,08:00 น. - 19:00 น.,https://lin.ee/BSPuq0e,https://bit.ly/FB-GBH-FAN,"https://maps.google.com/?q=19.899501,99.194725",19.899501,99.194725,ย่านค้าวัสดุ/ตกแต่งบ้าน / ย่านชุมชน/ตลาด / ใกล้ที่พัก/โรงแรม,ไม่พบข้อมูล,"ร้านของตกแต่งบ้าน(2), ที่พัก/โรงแรม(2), อู่ซ่อมรถ(2), ร้านอาหาร(2), ธนาคาร(1)","โกลบอลเฮ้าส์ ฝาง, ATM ธนาคารกรุงศรีอยุธยา, พีเอส โฮม ฝาง - P.S HOME, ดีดี การช่าง, สวนอาหาร กาสะลอง, ออฝางการยาง, โรงแรมพาสดาว, โรงแว็กซ์ส้ม นิวมนต์ชัย 5, ส.โบรกเกอร์ประกันภัย อำเภอฝาง จังหวัดเชียงใหม่, สห อีเลคทริค เซ็นเตอร์ สาขาฝาง"
GH-174,สาขาด่านขุนทด ,408 หมู่ที่ 4 ตำบลด่านขุนทด อำเภอด่านขุนทด  จังหวัดนครราชสีมา  30210,นครราชสีมา,Esan,30210,0933205158,0933205258,0935781258,1160,08:00 น. - 19:00 น.,https://lin.ee/2shsole,https://bit.ly/FB-GBH-DKT,"https://maps.google.com/?q=15.184967,101.755887",15.184967,101.755887,ย่านค้าวัสดุ/ตกแต่งบ้าน / ย่านชุมชน/ตลาด / ใกล้สถานศึกษา,ถนน ชัยภูมิ - สีคิ้ว (ถนน),"ร้านอาหาร(4), อู่ซ่อมรถ(2), โรงเรียน(1), ร้านของตกแต่งบ้าน(1)","ร้านต้นเครื่อง​ Resort & Restaurant, ครัวดอยช้าง, องค์การบริหารส่วนตำบลด่านขุนทด, โรงเรียนบ้านจั่นโคกรักษ์, โกลบอลเฮ้าส์ ด่านขุนทด, เสริมการไฟฟ้า (สาขาด่านขุนทด), วัชระการยาง, ธิดา หมู กระทะ, ครัวยอร์จ, ร้านสดใสไดนาโม 2018"
GH-175,สาขาสตูล, 622 หมู่ 1 ตำบลบ้านควน  อำเภอเมืองสตูล. จังหวัดสตูล 91140,สตูล,Southern,91140,0985847262,0621950262,0621952062,1160,08:00 น. - 19:00 น.,https://lin.ee/4TqpwuD,https://bit.ly/FB-GBH-SL,"https://maps.google.com/?q=6.679609,100.061421",6.679609,100.061421,ย่านพาณิชย์/ใกล้ห้าง / ย่านค้าวัสดุ/ตกแต่งบ้าน / ย่านชุมชน/ตลาด / ใกล้สถานศึกษา / ใกล้ที่พัก/โรงแรม,ไม่พบข้อมูล,"ร้านอาหาร(6), ร้านของตกแต่งบ้าน(2), ธนาคาร(1), ตู้ ATM(1), วัด/ศาสนสถาน(1), ร้านเสริมสวย(1), ที่พัก/โรงแรม(1)","สำนักงานรังสิมันต์การบัญชี, ATM ธนาคารกรุงศรีอยุธยา, โกลบอลเฮ้าส์ สตูล, บมจ.สยามโกลบอลเฮ้าส์ (สตูล), กะต้ายกซด, มัสยิดลูโบ๊ะบาตู, ก.ฟาริสาความงาม ศูนย์บริการสุขภาพและความงามสตูล, Notting Hill ลูโบ๊ะบาตู, เอสทีอะไหล่แอร์ แอนด์ พาร์ท 2008, นอรีรสดีตามสั่ง&ก๋วยเตี๋ยวเนื้อเปื่อยไก่ตุ๋น"
